Country (from Organization),Parameters,Training power (Watts) ,Power Consumption Normalized by Model Size
Canada,104000000000.0,51500000000000.0,495.1923076923077
China,166035517241.3793,901213793103448.2,5427.837417420037
Germany,25698848234.666668,87000000000000.0,3385.3657255596636
Hong Kong,43666666666.666664,118033333333333.33,2703.053435114504
Israel,178000000000.0,27400000000000.0,153.93258426966293
Japan,10500000000.0,865000000000000.0,82380.95238095238
Korea,175470000000.0,81683333333333.33,465.5116734104595
Multinational,149087500000.0,167000000000000.0,1120.1475643497945
Russia,100000000000.0,79300000000000.0,793.0
UAE,95500000000.0,122300000000000.0,1280.628272251309
UK,97786600061.0,94200000000000.0,963.3221723757381
USA,97199221712.0,363077500000000.0,3735.39513593837
