Country (from Organization),Parameters,Training power (Watts) 
USA,30000000000.0,28000000000000.0
USA,13000000000.0,34700000000000.0
USA,3210000000.0,1600000000000000.0
China,72700000000.0,121000000000000.0
China,72000000000.0,50200000000000.0
China,236000000000.0,88600000000000.0
Germany,7041544704.0,80000000000000.0
Korea,7820000000.0,90300000000000.0
USA,98500000000.0,86400000000000.0
China,9000000000.0,257000000000000.0
China,236000000000.0,3600000000000000.0
USA,340000000000.0,36400000000000.0
USA,8660000000.0,604000000000000.0
USA,34000000000.0,66800000000000.0
USA,7000000000.0,360000000000000.0
UAE,11000000000.0,204000000000000.0
China,236000000000.0,76800000000000.0
USA,6700000000.0,30700000000000.0
China,110000000000.0,80600000000000.0
USA,7400000000.0,1260000000000000.0
USA,70000000000.0,140000000000000.0
USA,8000000000.0,1680000000000000.0
USA,67000000000.0,130000000000000.0
USA,21000000000.0,58200000000000.0
Canada,104000000000.0,51500000000000.0
USA,132000000000.0,97200000000000.0
USA,30000000000.0,2000000000000000.0
USA,15000000000.0,31000000000000.0
USA,7000000000.0,2240000000000000.0
USA,8540000000.0,54800000000000.0
China,175000000000.0,194000000000000.0
China,530000000000.0,2400000000000000.0
China,530000000000.0,61400000000000.0
China,72000000000.0,20700000000000.0
USA,100000000000.0,2400000000000000.0
Hong Kong,20000000000.0,161000000000000.0
Korea,41000000000.0,41000000000000.0
China,65000000000.0,1e+16
Japan,7000000000.0,260000000000000.0
China,72000000000.0,48800000000000.0
USA,13000000000.0,35600000000000.0
China,102600000000.0,2000000000000000.0
China,13000000000.0,54000000000000.0
USA,33000000000.0,79200000000000.0
China,33000000000.0,120000000000000.0
China,70000000000.0,160000000000000.0
China,130000000000.0,210000000000000.0
China,175000000000.0,48000000000000.0
China,8000000000.0,21800000000000.0
Korea,200000000000.0,50000000000000.0
China,13000000000.0,50000000000000.0
China,14000000000.0,960000000000000.0
USA,200000000000.0,20200000000000.0
China,7000000000.0,23400000000000.0
UAE,180000000000.0,40600000000000.0
China,13000000000.0,25000000000000.0
Korea,300000000000.0,160000000000000.0
USA,70000000000.0,81600000000000.0
USA,34000000000.0,32000000000000.0
China,100000000000.0,773000000000000.0
Hong Kong,100000000000.0,120000000000000.0
Japan,14000000000.0,1470000000000000.0
USA,16000000000.0,21400000000000.0
USA,50558868480.0,48000000000000.0
China,1085000000000.0,4200000000000000.0
USA,16100000000.0,54600000000000.0
USA,32500000000.0,110000000000000.0
USA,175000000000.0,80000000000000.0
USA,20000000000.0,516000000000000.0
USA,16900000000.0,56000000000000.0
Germany,70000000000.0,71000000000000.0
China,130000000000.0,40900000000000.0
Hong Kong,11000000000.0,73100000000000.0
Russia,100000000000.0,79300000000000.0
Germany,55000000.0,110000000000000.0
USA,137000000000.0,24000000000000.0
USA,20000000000.0,86000000000000.0
UK,70000000000.0,58000000000000.0
USA,137000000000.0,31400000000000.0
UK,41100000000.0,208000000000000.0
China,260000000000.0,216000000000000.0
Korea,300000000000.0,74800000000000.0
USA,1200000000000.0,126000000000000.0
UK,280000000000.0,70800000000000.0
China,245730000000.0,234000000000000.0
USA,530000000000.0,29500000000000.0
Korea,204000000000.0,74000000000000.0
Israel,178000000000.0,27400000000000.0
USA,2300000000.0,62800000000000.0
USA,175000000000.0,22400000000000.0
USA,2600000000.0,68200000000000.0
UK,46400244.0,40000000000000.0
